video_id,motion_id,phase,timestamp_ms_belle,timestamp_ms_layer1,delta_ms,agreed
ref-invert,invert,entry_start,,,,
ref-invert,invert,lock_start,,,,
ref-invert,invert,transition_start,,,,
ref-invert,invert,final_shape_start,,,,
ref-invert,invert,hold_start,,,,
ref-foxtop,foxtop,entry_start,,,,
ref-foxtop,foxtop,lock_start,,,,
ref-foxtop,foxtop,transition_start,,,,
ref-foxtop,foxtop,final_shape_start,,,,
ref-foxtop,foxtop,hold_start,,,,
ref-foxtop-split,foxtop_split,entry_start,,,,
ref-foxtop-split,foxtop_split,lock_start,,,,
ref-foxtop-split,foxtop_split,transition_start,,,,
ref-foxtop-split,foxtop_split,final_shape_start,,,,
ref-foxtop-split,foxtop_split,hold_start,,,,
ref-climb,climb,entry_start,,,,
ref-climb,climb,lock_start,,,,
ref-climb,climb,transition_start,,,,
ref-climb,climb,final_shape_start,,,,
ref-climb,climb,hold_start,,,,
ref-sideway-spin,sideway_spin,entry_start,,,,
ref-sideway-spin,sideway_spin,lock_start,,,,
ref-sideway-spin,sideway_spin,transition_start,,,,
ref-sideway-spin,sideway_spin,final_shape_start,,,,
ref-sideway-spin,sideway_spin,hold_start,,,,
