동작별 실제 각도 분포로 가중한 median |Δ2D각| 곡선 (도)
motion                      바닥°     민감구간%       5      10      15      20      30      45      60      90     필요δ(가중)    필요δ(E3)
ref-climb                   7.7     66.2%    2.76    5.51    8.22   10.88   15.99   23.10   28.42   32.49          14         18
ref-combo                  13.6     48.0%    2.44    4.83    7.13    9.37   13.63   19.71   24.47   28.17          30         33
ref-elbow-twist-sister     22.2     60.5%    2.65    5.28    7.85   10.34   15.28   22.00   27.17   31.26          45         59
ref-foxtop                 15.4     55.5%    2.61    5.17    7.66   10.11   14.79   21.20   26.07   29.89          31         38
ref-foxtop-split           17.2     56.3%    2.64    5.24    7.79   10.30   15.06   21.51   26.45   30.30          35         43
ref-invert                 15.3     59.2%    2.65    5.28    7.85   10.34   15.18   21.67   26.71   30.72          30         38
ref-kip-up                  2.8     16.4%    1.85    3.58    5.21    6.78    9.69   14.16   17.84   21.08           8          6
ref-pdshape                24.3     46.1%    2.50    4.94    7.34    9.61   13.90   19.83   24.34   27.78          60         76
ref-peter-pan               5.3     33.3%    2.13    4.18    6.21    8.23   11.90   17.24   21.55   25.07          13         12
ref-power-spin              7.5     57.7%    2.50    4.90    7.27    9.59   14.27   20.79   25.97   30.15          16         17
ref-sideway-spin            2.3     21.4%    1.86    3.58    5.25    6.88   10.04   14.82   18.77   22.38           6          5

(필요δ 999 = 그 곡선의 δ=90° 로도 바닥에 도달 못함)
